,names,positions,twitters,fbs,bios,curs,tracked_mods
68,久保田博幸,金融アナリスト,ushikuma,hiroyuki.kubota.31,フリーの金融アナリスト。1996年に債券市場のホームページの草分けとなった「債券ディーリングルーム」を開設。幸田真音さんのベストセラー小説『日本国債』の登場人物のモデルともなった。日本国債や日銀の金融政策の動向分析などが専門。主な著書として「日本国債先物入門」パンローリング 、「債券の基本とカラクリがよーくわかる本」秀和システム、「債券と国債のしくみがわかる本」技術評論社など多数。,NaN,238
69,倉重公太朗,弁護士（倉重・近衞・森田法律事務所代表）,kurage4444,kotaro.kurashige,慶應義塾大学経済学部卒業後司法試験合格、オリック東京法律事務所、安西法律事務所を経て2018年10月～倉重・近衞・森田法律事務所　第一東京弁護士会労働法制委員会外国法部会副部会長、日本人材マネジメント協会（JSHRM)理事　経営者側労働法専門弁護士。労働審判等労働紛争案件対応、団体交渉（組合・労働委員会対応）、労災対応（行政・被災者対応）を得意分野とし、働き方改革のコンサルティング、役員・管理職研修、人事担当者向けセミナー等を多数開催。代表著作は「企業労働法実務入門」シリーズ（日本リーダーズ協会）。東洋経済オンラインで「検証！ニッポンの労働」を連載中。,235,15
70,ケイン樹里安,社会学者。「ハーフ」や海外にもルーツのある人々の研究。,NaN,NaN,社会学者。「ハーフ」をはじめとする海外に（も）ルーツのある人々が直面する問題状況や日常的実践について研究。日本社会における日常の人種主義や人種差別について、インタビュー、エスノグラフィー、メディア表象分析といった方法でアプローチしています。『ふれる社会学』（北樹出版）共編者。HAFU TALK（ハーフトーク）共同代表。,3,3
71,小出宗昭,中小企業支援家,NaN,NaN,59年生まれ。法政大卒後、静岡銀行に入行。M&A担当等を経て、01年静岡市の創業支援施設へ出向。起業家の創出と地域産業活性化に向けた支援活動が高く評価され、Japan Venture Award 2005経済産業大臣表彰を受賞した。07年浜松市に開設された中小企業支援施設への出向中に故郷の富士市から新設する中小企業支援施設のセンター長着任を依頼され、08年銀行を退職し会社を立ち上げ施設の運営を受託し12年に渡り運営した。知恵を使って売上を生む小出流の中小企業支援をわが町にもと取り組む自治体が全国20カ所以上に拡がった他、NHK「BS1スペシャル」や「クローズアップ現代等でその活動が特集された。,6,2
72,幸田泉,ジャーナリスト、作家,NaN,NaN,大阪府出身。立命館大学理工学部卒。元全国紙記者。2014年からフリーランス。2015年、新聞販売現場の暗部を暴いたノンフィクションノベル「小説 新聞社販売局」（講談社）を上梓。現在は大阪市在住。ブログ「フリージャーナリスト幸田泉の取材日記」で、大阪都構想の法定協議会や大阪市議会での議論など、大阪の公共政策に関する問題を発信中。,22,7
73,郷原信郎,郷原総合コンプライアンス法律事務所　代表弁護士,nobuogohara,NaN,1955年、島根県生まれ。東京大学理学部卒。東京地検特捜部、長崎地検次席検事、法務省法務総合研究所総括研究官などを経て、2006年に弁護士登録。08年、郷原総合コンプライアンス法律事務所開設。これまで、名城大学教授、関西大学客員教授、総務省顧問、日本郵政ガバナンス検証委員会委員長、総務省年金業務監視委員会委員長などを歴任。著書に『告発の正義』『検察の正義』(ちくま新書)、『「法令遵守」が日本を滅ぼす』(新潮新書)、『思考停止社会─「遵守」に蝕まれる日本』(講談社現代新書)など多数。,140,35
74,小杉浩史,気象予報士 / ウェザーマップ所属,Hirofumi_Kosugi,NaN,東京都出身。大学卒業後、会社員やフリーターなどを経て、2012年に気象予報士を取得。2015年からミヤギテレビにて気象キャスターとして出演中。趣味はバイクに乗ること、目標は「宮城の天気と言えばこの人！」と言われること。南東北の北東から、天気の怖さと面白さをお伝えします。,63,0
75,後藤千絵,フェリーチェ法律事務所　弁護士,chienowa38,NaN,"京都生まれ。大阪大学文学部卒業後、大手損害保険会社に入社するも、5年で退職。大手予備校での講師職を経て、30歳を過ぎてから法律の道に進むことを決意。派遣社員やアルバイトなどさまざまな職業に就きながら勉強を続け、2008年に弁護士になる。荒木法律事務所を経て、2017年にスタッフ全員が女性であるフェリーチェ法律事務所設立。離婚・DV・慰謝料・財産分与・親権・養育費・面会交流・相続問題など、家族の事案をもっとも得意とする。なかでも、離婚は女性を中心に、年間300件、のべ3,000人の相談に乗っている。",4,0
76,小西公大,東京学芸大学准教授,NaN,NaN,1975年生まれ。2009年東京都立大学社会科学研究科博士課程修了。博士（社会人類学）。東京大学東洋文化研究所、東京外国語大学現代インド研究センター研究員を経て現職。専門は文化／社会人類学、南アジア地域研究、芸能論。長期のフィールドワークを基盤とし、インドや日本の社会空間の変容、モダニティの諸相の顕在化過程、新たな共同態の可能性などについて研究している。著作多数。次世代のクリエイティブ＆インクルーシブ教育を構築する変人類学研究所所長。全国のフィールドワーカーをつなぐNPO法人FENICS理事。地域開発の実践と結びついた研究集団「生活文化研究フォーラム佐渡」運営。,6,0
77,小宮信夫,立正大学教授（犯罪学）／社会学博士,nobuokomiya,nobuokomiyafb,日本人として初めてケンブリッジ大学大学院犯罪学研究科を修了。国連アジア極東犯罪防止研修所、法務省法務総合研究所などを経て現職。「地域安全マップ」の考案者。警察庁の安全・安心まちづくり調査研究会座長、東京都の非行防止・被害防止教育委員会座長などを歴任。代表的著作は、『写真でわかる世界の防犯 ――遺跡・デザイン・まちづくり』（小学館、全国学校図書館協議会選定図書）。NHK「クローズアップ現代」、日本テレビ「世界一受けたい授業」などテレビへの出演、新聞の取材（これまでの記事は1700件以上）、全国各地での講演も多数。公式ホームページとYouTube チャンネルは「小宮信夫の犯罪学の部屋」。,1,0
78,今野晴貴,NPO法人POSSE代表。雇用・労働政策研究者。,konno_haruki,haruki.konno.9,ＮＰＯ法人「ＰＯＳＳＥ」代表。年間3000件以上の労働・生活相談に関わり、労働・福祉政策について研究・提言している。著書に『ストライキ２．０』（集英社新書）、『ブラック企業』（文春新書）、『ブラックバイト』（岩波新書）、『生活保護』（ちくま新書）など多数。2013年に「ブラック企業」で流行語大賞トップ10、大佛次郎論壇賞などを受賞。共同通信社・「現論」、東京新聞社・「新聞を読む」連載中。一橋大学大学院社会学研究科博士後期課程修了。博士(社会学）。POSSEは若者の労働問題に加え、外国人やLGBT等の人権擁護に取り組んでいる。無料労働相談受付：soudan@npoposse.jp。,383,473
79,斉藤徹,電通シニアプロジェクト代表、社会福祉士,NaN,toru.saito.102,1958年生まれ。専門分野は超高齢社会、未来予測。西武百貨店、流通産業研究所（セゾン総合研究所）パルコを経て（株）電通、電通シニアプロジェクト代表。社会福祉士。著書に『超高齢社会の「困った」を減らす課題解決ビジネスの作り方』（翔泳社）『ショッピングモールの社会史』（彩流社）『超高齢社会マーケティング』（ダイヤモンド社）『吉祥寺が「いま一番住みたい街」になった理由』（ぶんしん出版）『発達科学入門』（共著・東大出版会）など。,51,11
80,斎藤秀俊,一社法人水難学会会長、国大法人長岡技術科学大学大学院教授,uitemate_invest,hidetoshisaitoh,人類誕生以来６００万年にも及び、祖先は水難という不幸と闘ってきました。そのような経験が我々の遺伝子の中に「水難は神の領域」として埋め込まれてきたかもしれません。しかし今や人類の叡智を総合し、水難学は、工学、医学、教育学、宗教学、語学、気象学などの学際領域に育ちました。狙いを定めた結果、水難からの生還例が着実に増えてます。記事やコメントでは風呂から海まで水にまつわる事故・事件、津波災害や大雨災害あるいは船舶事故に関する話題を提供していきます。溺水防止の製品やシステム開発のコンサルタント、講演会やインタビューも積極的にお受けします。リモートによるものも可能です。,147,558
81,境治,コピーライター/メディアコンサルタント,sakaiosamu,sakaiosamu,1962年福岡市生まれ。東京大学卒業後、広告会社I&Sに入社しコピーライターになり、93年からフリーランスとして活動。その後、映像制作会社ロボット、ビデオプロモーションに勤務したのち、2013年から再びフリーランスとなり、メディアコンサルタントとして活動中。有料マガジン「テレビとネットの横断業界誌 MediaBorder」発行。著書「拡張するテレビ-広告と動画とコンテンツビジネスの未来」宣伝会議社刊　「爆発的ヒットは”想い”から生まれる」大和書房刊　新著「嫌われモノの広告は再生するか」イーストプレス刊 TVメタデータを作成する株式会社エム・データ顧問研究員,160,2
82,佐々木亮,弁護士・ブラック企業被害対策弁護団代表,ssk_ryo,sskryo,弁護士（東京弁護士会）。旬報法律事務所所属。日本労働弁護団常任幹事。ブラック企業被害対策弁護団代表。ブラック企業大賞実行委員。首都圏青年ユニオン顧問弁護団。民事事件を中心に仕事をしています。労働事件は労働者側のみ。労働組合の顧問もやってますので、気軽にご相談ください！　ここでは、労働問題に絡んだニュースや、一番身近な法律問題である「労働」について、できるだけ分かりやすく解説していきます！,146,28
83,佐多直厚,株式会社電通　電通ダイバーシティ・ラボ コアメンバー,NaN,resquedog,金沢美術工芸大学卒。2020＆ビヨンドビジネスであるユニバーサルデザイン（UD）社会化の推進に格闘中。2008年、現在の字幕付きCM開始時より普及活動と制作体制の基盤構築を推進。進行ルールを構築、マニュアルとしての進行要領を執筆し、実運用指導。2013年、UDビジネスで豊かなダイバーシティ社会づくりに貢献するための個人から大組織までを開発メンバーとする会議体PARADISの運営開始、UDコンサルティング展開中。業務外では災害支援・救援活動を中心に可能な限りボランティア活動に従事。ともなってノウハウやボランティアネットワーク情報の提供も実施している。,16,4
84,JSF,軍事ブロガー,rockfish31,NaN,弾道ミサイル防衛、極超音速兵器、無人戦闘兵器、オスプレイなど、ニュースに良く出る最新の軍事的なテーマに付いて解説を行っています。,428,340
85,鎮目博道,プロデューサー・演出・ライター。上智大学文学部非常勤講師。,NaN,NaN,92年テレビ朝日入社。社会部記者として阪神大震災やオウム真理教関連の取材を手がけた後、スーパーJチャンネル、スーパーモーニング、報道ステーションなどのディレクターを経てプロデューサーに。中国・朝鮮半島取材やアメリカ同時多発テロなどを始め海外取材を多く手がける。また、ABEMAのサービス立ち上げに参画。「AbemaPrime」、「Wの悲喜劇」などの番組を企画・プロデュース。2019年8月に独立し、放送番組のみならず、多メディアで活動。上智大学文学部新聞学科非常勤講師。公共コミュニケーション学会会員として地域メディアについて学び、顔ハメパネルをライフワークとして研究、記事を執筆している。,30,5
86,志田陽子,武蔵野美術大学教授（憲法、芸術関連法）、日本ペンクラブ会員。,NaN,NaN,東京生まれ。専門は憲法。博士（法学・論文・早稲田大学）。2000年より武蔵野美術大学で 表現者のための法学および憲法を担当。「表現の自由」を中心とした法ルール、 文化芸術に関連する法律分野、人格権、文化的衝突が民主過程や人権保障に影響を及ぼす「文化戦争」問題を研究対象にしている。著書に『文化戦争と憲法理論』（博士号取得論文・2006年）、『映画で学ぶ憲法』（編著・2014年）、『表現者のための憲法入門』（2015年）、『合格水準　教職のための憲法』（共著・2017年）、『「表現の自由」の明日へ』（2018年）。,24,48
87,篠田博之,月刊『創』編集長,tsukuru_shuppan,hiroyuki.shinoda,月刊『創』編集長・篠田博之1951年茨城県生まれ。一橋大卒。1981年より月刊『創』（つくる）編集長。82年に創出版を設立、現在、代表も兼務。東京新聞にコラム「週刊誌を読む」を十数年にわたり連載。北海道新聞、中国新聞などにも転載されている。日本ペンクラブ言論表現委員会副委員長。東京経済大学大学院講師。著書は『増補版 ドキュメント死刑囚』（ちくま新書）、『生涯編集者』（創出版）他共著多数。専門はメディア批評だが、宮崎勤死刑囚（既に執行）と12年間関わり、和歌山カレー事件の林眞須美死刑囚とも10年以上にわたり接触。その他、元オウム麻原教祖の三女など、多くの事件当事者の手記を『創』に掲載してきた。,392,2
88,篠原修司,ITジャーナリスト,digimaga,shuji.shinohara,1983年生まれ。福岡県在住。2007年よりフリーランスのライター・ITジャーナリストとして活動中。スマホ、ネット、炎上などが専門。ファクトチェック団体『インファクト』編集員としてデマの検証も行っています。執筆や取材の依頼は digimaganet@gmail.com まで,767,537
89,柴田悠,京都大学大学院人間・環境学研究科　准教授,NaN,NaN,"1978年、東京都生まれ。京都大学総合人間学部卒業、京都大学大学院人間・環境学研究科博士後期課程修了。京都大学博士（人間・環境学）。専門は社会学、社会保障論、近代化論。日本学術振興会特別研究員PD、同志社大学政策学部准教授、立命館大学産業社会学部准教授を経て、2016年度より現職。著書に『子育て支援と経済成長』（朝日新書、2017）、『子育て支援が日本を救う――政策効果の統計分析』（勁草書房、2016、社会政策学会学会賞受賞）、分担執筆書に『Labor Markets, Gender and Social Stratification in East Asia』（Brill、2015）など。",8,2
90,志葉玲,フリージャーナリスト（環境、人権、戦争と平和）,reishiva,rei.shiva,パレスチナやイラクなどの紛争地での現地取材、脱原発・自然エネルギー取材の他、入管による在日外国人への人権侵害、米軍基地問題や貧困・格差etcも取材、幅広く活動するジャーナリスト。週刊誌や新聞、通信社などに寄稿、テレビ局に映像を提供。著書に『13歳からの環境問題』（かもがわ出版）、『たたかう！ジャーナリスト宣言』（社会批評社）、共編著に『原発依存国家』（扶桑社新書）、『イラク戦争を検証するための20の論点』（合同ブックレット）など。イラク戦争の検証を求めるネットワークの事務局長。,429,113
91,治部れんげ,ジャーナリスト、昭和女子大学研究員、東大情報学環客員研究員,rengejibu,NaN,1997年一橋大学法学部卒業後、日経BP社で16年間、経済誌記者。2006年～07年ミシガン大学フルブライト客員研究員。2014年からフリージャーナリスト。2018年一橋大学大学院経営学修士。著書に『稼ぐ妻　育てる夫』（勁草書房）、『ふたりの子育てルール』（PHP研究所）、『炎上しない企業情報発信』（日本経済新聞出版社）。取材分野は、働く女性、男性の育児参加、子育て支援政策、グローバル教育、メディアとダイバーシティなど。東京都男女平等参画審議会委員（第5期）。財団法人ジョイセフ理事。財団法人女性労働協会評議員。豊島区男女共同参画推進会議会長。,68,85
92,嶋崎量,弁護士（日本労働弁護団常任幹事）,shima_chikara,bengoshi.shima.chikara,1975年生まれ。神奈川総合法律事務所所属、ブラック企業対策プロジェクト事務局長、ブラック企業被害対策弁護団副事務局長、反貧困ネットワーク神奈川幹事など。主に働く人や労働組合の権利を守るために活動している。著書に「5年たったら正社員！？－無期転換のためのワークルール」（旬報社）、共著に「迷走する教員の働き方改革」「裁量労働制はなぜ危険か－『働き方改革』の闇」「ブラック企業のない社会へ」（いずれも岩波ブックレット）、「ドキュメント　ブラック企業」（ちくま文庫）、「企業の募集要項、見ていますか？－こんな記載には要注意！－」（ブラック企業対策プロジェクト）など。,49,94
93,清水康之,ライフリンク代表,yasushimizu,shimizulifelink,NPO法人「自殺対策支援センター」ライフリンク代表。いのち支える自殺対策推進センター代表理事。自殺対策全国民間ネットワーク代表。元NHK報道ディレクター。自死遺児の取材をきっかけに、自殺対策の重要性を認識。2004年にNHKを退職し、ライフリンクを設立。10万人署名運動等を通して、2006年の自殺対策基本法成立に大きく貢献。2009～11年、内閣府参与として国の自殺対策に関与。2016年の自殺対策基本法改正にも深く関わる。1972年生。著書に『自殺社会から「生き心地のよい社会」へ』。,2,0
94,白河桃子,相模女子大特任教授、昭和女子大客員教授、少子化ジャーナリスト,shirakawatouko,shirakawa.toko,東京生まれ、慶応義塾大学。中央大学ビジネススクール MBA、少子化、働き方改革、ジェンダー、アンコンシャスバイアス、女性活躍、ダイバーシティ、働き方改革などがテーマ。山田昌弘中央大学教授とともに19万部超のヒットとなった著書「婚活時代」で婚活ブームを起こす。内閣府「男女共同参画重点方針調査会」内閣官房「第二次地方創生戦略策定」総務省「テレワーク普及展開方策検討会」内閣官房「働き方改革実現会議」など委員を歴任。著書に「ハラスメントの境界線　セクハラ・パワハラに戸惑う男たち」「御社の働き方改革、ここが間違ってます！」「『逃げ恥』にみる結婚の経済学」「女子と就活」「産むと働くの教科書」など多数。,25,102
95,神内聡,スクールロイヤー・兵庫教育大学大学院准教授,NaN,NaN,スクールロイヤー。昨年度まで日本で初めて法曹資格を持つ教師として活動し、現在は弁護士で初めて教職大学院の教員に就任。学校での外部人材の効果検証や法教育などの研究活動に従事しながら、教師の経験を活かし、学校現場に詳しい弁護士として様々なスクールロイヤー活動を行っている。専門は教育法・学校経営。高校では現代社会・世界史を担当。東京大学法学部卒業・同大学院教育学研究科修了。専修教員免許取得。著書に『学校弁護士　スクールロイヤーが見た教育現場』（角川新書）、『スクールロイヤー　学校現場の事例で学ぶ教育紛争実務Q&A170』（日本加除出版）、『Q&Aでわかる業種別法務　学校』（中央経済社・編著）など。,2,0
96,末木新,心理学者／公認心理師／和光大学現代人間学部准教授,NaN,NaN,"自殺に関して研究することを通じて、我々が幸せに生きていくとはどういうことなのか、より良い社会はどうすれば実現し、継続していくのか、みたいなことを日々考えています。専門は自殺学／臨床心理学。和光大学現代人間学部准教授。1983年東京生まれ。東京大学教育学部卒、同大学院教育学研究科臨床心理学コース博士課程修了。博士（教育学）、公認心理師、臨床心理士。著書に「自殺学入門」（金剛出版, 2020年）、「自殺対策の新しい形」（ナカニシヤ出版, 2019年）、「インターネットは自殺を防げるか」（東京大学出版会, 2013年, 電気通信普及財団賞受賞）などがあります。",1,0
97,末冨芳,日本大学教授・内閣府子供の貧困対策に関する有識者会議構成員,KSuetomi,100014976227926,"末冨　芳（すえとみ　かおり）、専門は教育行政学、教育財政学。子どもの貧困対策は「すべての子ども・若者のウェルビーイング（幸せ）」がゴール、という理論的立場のもと、2014年より内閣府・子どもの貧困対策に有識者として参画。教育費問題を研究。家計教育費負担に依存しつづけ成熟期を通り過ぎた日本の教育政策を、格差・貧困の改善という視点から分析し共に改善するというアクティビスト型の研究活動も展開。多様な教育機会や教育のイノベーション、学校内居場所カフェも研究対象とする。主著に『教育費の政治経済学』(勁草書房)、『子どもの貧困対策と教育支援』(明石書店,編著)など。",33,61
98,鈴木崇弘,城西国際大学大学院国際アドミニストレーション研究科長特任教授,lovevisionb,1575506352,宇都宮市生まれ。東京大学法学部卒。マラヤ大学、イーストウエスト・センター奨学生として同センター・ハワイ大学大学院等留学。総合研究開発機構等を経て、東京財団の設立に参画し同財団研究事業部長、大阪大学特任教授・フロンティア研究機構副機構長、自民党系政策研究機関「シンクタンク2005・日本」の設立に参画し同機関理事・事務局長、米アーバン・インスティテュート兼任研究員、中央大学公共政策研究科客員教授、厚生労働省総合政策参与などを経て、現職。現在、PHP総研客員研究員等も兼任。大阪駅北地区国際コンセプトコンペ優秀賞受賞。著書等は『日本に「民主主義」を起業する』『シチズン・リテラシー』。,124,0
99,鈴木悠,気象解説者/気象予報士/防災士/ウェザーマップ所属,yu_suzuki_tenki,NaN,1988年東京都出身。中学生のときに空を見上げ「なんで空は青いのだろう」と疑問に思ったことをきっかけに、天気に興味を持つ。大学4年次に気象予報士試験に合格。大学院まで気候学研究を実施。親しみやすく、時には災害から命を守る気象予報士になるべく活動中。これまでYahoo!天気・災害動画（'17～'18）やNHK高松放送局（'18～）などに出演。,16,0
100,鈴木祐司,次世代メディア研究所代表／メディアアナリスト,ysgenko,yuji.suzuki.169,愛知県西尾市出身。1982年、東京大学文学部卒業後にＮＨＫ入局。番組制作現場にてドキュメンタリーの制作に従事した後、放送文化研究所、解説委員室、編成、Ｎスペ事務局を経て2014年より現職。デジタル化が進む中で、メディアがどう変貌するかを取材・分析。特に既存メディアと新興メディアがどう連携していくのかに関心を持つ。直近の制作番組では、テレビ60周年特集「1000人が考えるテレビ ミライ」、放送記念日特集「テレビ 60年目の問いかけ」（共に2013年）。著作には「放送十五講」（2011年、共著）、「メディアの将来を探る」（2014年、共著）。津田塾大学では計算機科学研究所にて客員研究員を拝命中。,279,16
101,鈴木悠平,株式会社閒 代表取締役,NaN,NaN,文筆家/インターミディエイター® ひと・もの・ことの閒-あわい-に横たわるなにかを見つめて、掬って、かたちにしたり、しなかったり、誰かに贈ったり、分かち合ったりしています。,10,14
102,瀬川泰祐,株式会社カタル代表取締役/スポーツライター/エディター,STaisuke1,taisuke.segawa1,スポーツライター・エディター。株式会社カタル代表取締役。ファルカオフットボールクラブアドバイザー。ライブエンターテイメント業界やWEB業界で数多くのシステムプロジェクトに参画し、サービスをローンチする傍ら、2016年よりスポーツ分野を中心に執筆活動を開始。リアルなビジネス経験と、執筆・編集経験をあわせ持つ強みを活かし、2020年4月にスポーツ・健康・医療に関するコンテンツ制作・コンテンツマーケティングを行う株式会社カタルを創業。取材テーマは「Beyond Sports」。社会との接点からスポーツの価値を探る。ライブエンターテイメントビジネス歴20年。趣味はサッカー、キャンプ。,3,1
103,関口威人,ジャーナリスト,newzdrive,sekiguchitaketo,1973年横浜市生まれ。早稲田大学大学院理工学研究科修了。中日新聞記者を経て2008年からフリー。名古屋を拠点に地方の目線で環境や防災、科学技術などの諸問題を追い掛ける。一般社団法人「なごやメディア研究会」代表理事、名古屋の環境情報紙「Risa」編集長、NPO法人「震災リゲイン」理事、ソーシャル・ビジネス・マガジン「オルタナ」編集委員など。,40,11
104,関谷秀子,精神科医・法政大学現代福祉学部教授・博士（医学）,NaN,NaN,法政大学現代福祉学部教授・初台クリニック医師。前関東中央病院精神科部長。子どものこころ専門医、日本児童青年精神医学会認定医、日本精神神経学会精神科専門医・指導医、日本精神分析学会認定精神療法医・スーパーバイザー。児童青年精神医学、精神分析的発達心理学を専門としている。児童思春期の精神科医療に長年従事しており、精神分析的精神療法、親ガイダンス、などを行っている。著書『不登校、うつ状態、発達障害　思春期に心が折れた時親がすべきこと』（中公新書ラクレ）,2,0
105,妹尾昌俊,教育研究家、学校・行政向けアドバイザー,senoo8masatoshi,senoo.masatoshi,徳島県出身。野村総合研究所を経て2016年から独立し、全国各地で学校、教育委員会向けの研修・講演などを手がけている。５人の子育て中。学校業務改善アドバイザー（文科省、埼玉県、横浜市等より委嘱）、中央教育審議会「学校における働き方改革特別部会」委員、スポーツ庁、文化庁の部活動ガイドライン作成検討会議委員、岐阜市公教育検討会議委員等を歴任。合同会社ライフ＆ワーク代表、NPO法人まちと学校のみらい理事。主な著書に『変わる学校、変わらない学校』、『教師崩壊』、『こうすれば、学校は変わる! 「忙しいのは当たり前」への挑戦』、『学校をおもしろくする思考法』、『「先生が忙しすぎる」をあきらめない』など。,162,103
106,千田有紀,武蔵大学社会学部教授（社会学）,NaN,NaN,1968年生まれ。東京大学文学部社会学科卒業。東京外国語大学外国語学部准教授、コロンビア大学の客員研究員などを経て、 武蔵大学社会学部教授。専門は現代社会学。家族、ジェンダー、セクシュアリティ、格差、サブカルチャーなど対象は多岐にわたる。著作は『日本型近代家族―どこから来てどこへ行くのか』、『女性学/男性学』、共著に『ジェンダー論をつかむ』など多数。,86,22
107,園田寿,甲南大学名誉教授、弁護士,sonoda_hisashi,hisashi.sonoda,1952年生まれ。甲南大学名誉教授、弁護士、元関西大学教授。専門は刑事法。ネットワーク犯罪、児童ポルノ規制、青少年有害情報規制、個人情報保護などを研究。主著に『情報社会と刑法』（2011年成文堂、単著）、『インターネットの法律問題－理論と実務－』（2013年新日本法規出版、共著）、『改正児童ポルノ禁止法を考える』（2014年日本評論社、共編著）、『エロスと「わいせつ」のあいだ』（2016年朝日新書、共著）など。趣味は、囲碁とジャズ。【座右の銘】法学は、物言わぬテミス（正義の女神）に言葉を与ふる作業なり。,166,148
108,平和博,桜美林大学教授　ジャーナリスト,kaztaira,NaN,桜美林大学リベラルアーツ学群教授（メディア・ジャーナリズム）、ジャーナリスト。早稲田大卒業後、朝日新聞入社。社会部、シリコンバレー駐在、科学グループデスク、編集委員、ＩＴ専門記者（デジタルウオッチャー）を担当。2019年４月から現職。著書に『悪のＡＩ論　あなたはここまで支配されている』『信じてはいけない　民主主義を壊すフェイクニュースの正体』『朝日新聞記者のネット情報活用術』（いずれも朝日新書）、訳書に『あなたがメディア！　ソーシャル新時代の情報術』『ブログ　世界を変える個人メディア』（ダン・ギルモア著、朝日新聞出版）、共著に『メディアは誰のものか―「本と新聞の大学」講義録』（集英社新書）。,118,3
109,高橋亮平,日本政治教育センター代表理事・メルカリ社長室政策企画参事,ryohey7654,ryohey7654,前 中央大学特任准教授、NPO法人Rights代表理事、一般社団法人生徒会活動支援協会理事長。26歳で市川市議会議員、全国若手市議会議員の会会長、34歳で松戸市政策担当官・審議監、東京財団研究員、千葉市アドバイザー、内閣府事業の有識者委員、NPO法人万年野党事務局長、株式会社政策工房客員研究員、明治大学世代間政策研究所客員研究員等を歴任。AERA「日本を立て直す100人」に選ばれたほか、テレビ朝日「朝まで生テレビ！」等多数メディアに出演。著書に『世代間格差ってなんだ』（PHP新書）、『20歳からの社会科』（日経プレミアシリーズ）、『18歳が政治を変える！』（現代人文社）ほか。,166,0
110,高橋浩祐,国際ジャーナリスト,KosukeGoto2013,kosuke.takahashi,英軍事専門誌ジェーンズ・ディフェンス・ウィークリー東京特派員。ホリプロ所属。令和元年度内閣府主催「世界青年の船」日本ナショナルリーダー。米ボルチモア市市民栄誉賞受賞。ハフポスト日本版前編集長。元日経CNBCコメンテーター。1993年慶応大学経済学部卒、2004年米コロンビア大学大学院ジャーナリズムスクールとSIPA（国際公共政策大学院）を修了。朝日新聞やアジアタイムズ、ブルームバーグで記者を務める。NK NewsやNikkei Asia、週刊文春、文春オンライン、論座、東洋経済オンライン、ビジネスインサイダー日本版、軍事研究、英紙ガーディアン、シンガポール紙ストレーツ・タイムズ等にも記事掲載。,103,415
111,田上嘉一,弁護士／陸上自衛隊三等陸佐（予備）,Gotama7,NaN,弁護士。早稲田大学法学部卒、ロンドン大学クィーン・メアリー校修士課程修了。陸上自衛隊三等陸佐（予備自衛官）。防衛法学会、戦略法研究会所属。TOKYO MX「モーニングCROSS」、JFN 「Day by Day」などメディア出演多数。,31,1
112,瀧澤信秋,ホテル評論家,NaN,nobuaki.takizawa.7,1971年生まれ。一般社団法人日本旅行作家協会正会員、財団法人宿泊施設活性化機構理事、一般社団法人宿泊施設関連協会アドバイザリーボード。ホテル評論の第一人者としてゲスト目線やコストパフォーマンスを重視する取材を徹底。人気バラエティ番組から報道番組のコメンテーター、新聞、雑誌など利用者目線のわかりやすい解説とメディアからの信頼も厚い。評論対象はラグジュアリー、ビジネス、カプセル、レジャー等の各ホテルから旅館、民泊など宿泊施設全般、多業態に渡る。著書に「ホテルに騙されるな」（光文社新書）「最強のホテル100」（イーストプレス）「辛口評論家 星野リゾートに泊まってみた」（光文社新書）など。,82,22
113,竹内和雄,兵庫県立大学環境人間学部准教授,takekaz0205,takekaz0205,公立中学校で20年生徒指導主事等を担当（途中、小学校兼務）。市教委指導主事を経て2012年より現職。生徒指導を専門とし、ネット問題、いじめ、不登校等、「困っている子ども」への対応方法について研究している。文部科学省、総務省等で、子どもとネット問題等についての委員を歴任している。2013年ウィーン大学客員研究員。,25,0
114,竹内弓乃,特定非営利活動法人ADDS共同代表／臨床心理士,NaN,yuno.takeuchi.77,1984年生まれ。香川県出身。慶應義塾大学文学部心理学専攻卒業、同大学大学院修士課程修了、横浜国立大学大学院修士課程修了。臨床心理士。大学1年時、自閉症がある男の子とその母親との出会いをきっかけに、家庭療育（治療・教育）をサポートする学生セラピストとして活動を始めました。子どもたちの大きな成長と保護者の底力に魅せられ、発達障害児の支援に没頭。臨床経験を積みながら、大学院にて発達心理学と応用行動分析を学び、仲間とともに2009年ADDSを設立しました。｢日本中の発達障害がある子とその家族へ、早期に適切な支援が届く社会｣の実現を目指し、保護者トレーニングや支援者育成、普及啓発に取り組んでいます。,9,0
115,竹中治堅,政策研究大学院大学教授,westlinen,NaN,日本政治の研究、教育をしています。関心は首相の指導力、参議院の役割、一票の格差問題など。【略歴】東京大学法学部卒。スタンフォード大学政治学部博士課程修了（Ph.D.）。大蔵省、政策研究大学院大学助教授、准教授を経て現職。【著作】『コロナ危機の政治：安倍政権vs.知事』（中公新書　2020年）、『参議院とは何か』（中央公論新社　2010年）、『首相支配』（中公新書　2006年）、『戦前日本における民主化の挫折』（木鐸社　2002年）など。,36,0
116,田代真人,編集執筆者,tashiro_m,NaN,1963年福岡県出身。86年九州大学工学部卒業後、朝日新聞社入社。その後、学習研究社にてファッション女性誌編集者、ダイヤモンド社にてWebマスター、雑誌編集長、書籍編集などを経て、2007年メディア・ナレッジ設立。代表に就任。出版&電子出版、Webプロデューサー、PRコンサルタントとして活動。現在は、駒沢女子大学教授、桜美林大学非常勤講師を務める。専門は「編集論」。,26,0
